Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG00096	1.0322	0.236
HG00097	1.914	0.5551
HG00099	1.881	0.5467
HG00100	1.7301	0.5076
HG00101	2.2538	0.6262
HG00102	0.6717	0.0535
HG00103	2.9485	0.7384
HG00105	1.838	0.5351
HG00106	2.0387	0.5827
HG00107	1.7426	0.5132
HG00108	5.6356	0.9125
HG00109	4.2465	0.849
HG00110	1.3347	0.3706
HG00111	2.9844	0.7424
HG00112	1.2822	0.3478
HG00113	2.5772	0.6877
HG00114	1.7032	0.4968
HG00115	1.2535	0.3379
HG00116	1.0019	0.2181
HG00117	0.8633	0.1494
HG00118	3.4253	0.7983
HG00119	2.9096	0.7348
HG00120	0.7014	0.0623
HG00121	1.6751	0.4912
HG00122	0.771	0.0958
HG00123	1.7346	0.5104
HG00125	0.8369	0.1306
HG00126	3.9263	0.8339
HG00127	1.3516	0.3762
HG00128	1.7633	0.518
HG00129	3.0505	0.754
HG00130	1.9175	0.5559
HG00131	1.6484	0.48
HG00132	0.9076	0.1745
HG00133	0.7574	0.0883
HG00136	1.858	0.5403
HG00137	4.2508	0.8502
HG00138	1.323	0.3654
HG00139	2.2122	0.6182
HG00140	1.6979	0.4956
HG00141	1.5721	0.4589
HG00142	0.9664	0.1997
HG00143	1.3965	0.3934
HG00145	4.9008	0.8858
HG00146	0.7257	0.0739
HG00148	0.8904	0.1653
HG00149	4.81	0.8802
HG00150	1.2915	0.3502
HG00151	1.905	0.5543
HG00154	0.8958	0.1685
HG00155	3.1446	0.7676
HG00157	1.5223	0.4437
HG00158	0.8836	0.1621
HG00159	0.7119	0.0663
HG00160	0.8294	0.1254
HG00171	6.6899	0.9397
HG00173	2.1876	0.6126
HG00174	2.0324	0.5807
HG00176	1.0133	0.224
HG00177	2.8554	0.7268
HG00178	3.2776	0.7855
HG00179	4.6772	0.8746
HG00180	1.5088	0.4385
HG00181	11.5444	0.982
HG00182	1.7329	0.5096
HG00183	2.5264	0.6821
HG00185	0.7304	0.0771
HG00186	1.4512	0.4173
HG00187	1.5493	0.4521
HG00188	0.5807	0.022
HG00189	0.6771	0.0559
HG00190	2.1615	0.6058
HG00231	0.8848	0.1633
HG00232	1.1812	0.3051
HG00233	0.8903	0.1649
HG00234	0.5411	0.0128
HG00235	1.9713	0.5679
HG00236	1.1636	0.2987
HG00237	1.7927	0.526
HG00238	1.7834	0.5236
HG00239	1.7282	0.5072
HG00240	0.947	0.1929
HG00242	1.3522	0.3766
HG00243	0.8266	0.123
HG00244	1.8923	0.5507
HG00245	3.109	0.7632
HG00246	1.2681	0.3423
HG00250	1.5304	0.4465
HG00251	4.9958	0.8882
HG00252	1.5468	0.4505
HG00253	1.0171	0.2268
HG00254	1.0981	0.2672
HG00255	1.8281	0.5327
HG00256	0.7419	0.0819
HG00257	0.8097	0.1142
HG00258	3.3794	0.7947
HG00259	1.1525	0.2943
HG00260	1.3744	0.3838
HG00261	5.1583	0.8946
HG00262	4.811	0.8806
HG00263	0.8552	0.1446
HG00264	2.1364	0.6034
HG00265	0.8146	0.117
HG00266	0.672	0.0539
HG00267	0.5906	0.0276
HG00268	1.671	0.4876
HG00269	0.8666	0.1526
HG00271	1.2981	0.3522
HG00272	4.6814	0.875
HG00273	1.426	0.4097
HG00274	1.521	0.4429
HG00275	5.0018	0.889
HG00276	0.8163	0.1178
HG00277	1.861	0.5407
HG00278	1.6083	0.4665
HG00280	2.9922	0.7432
HG00281	0.8649	0.1502
HG00282	6.3917	0.9341
HG00284	0.936	0.1865
HG00285	2.6324	0.6953
HG00288	1.1507	0.2923
